"Planter's Punch","Planter's Punch"
"Port And Starboard","Port And Starboard"
"Port Wine Cocktail","Port Wine Cocktail"
"Pysch Vitamin Light","Pysch Vitamin Light"
"Pink Panty Pulldowns","Pink Panty Pulldowns"
"Passion Fruit Martini","Passion Fruit Martini"
"Pineapple Gingerale Smoothie","Pineapple Gingerale Smoothie"
"Quentin","Quentin"
"Queen Bee","Queen Bee"
"Quick F**K","Quick F**K"
"Quick-sand","Quick-sand"
"Queen Charlotte","Queen Charlotte"
"Queen Elizabeth","Queen Elizabeth"
"Quaker's Cocktail","Quaker's Cocktail"
"Quarter Deck Cocktail","Quarter Deck Cocktail"
"Rose","Rose"
"Radler","Radler"
"Rum Sour","Rum Sour"
"Rum Toddy","Rum Toddy"
"Rum Punch","Rum Punch"
"Royal Fizz","Royal Fizz"
"Rum Cooler","Rum Cooler"
"Rusty Nail","Rusty Nail"
"Rum Runner","Rum Runner"
"Rum Cobbler","Rum Cobbler"
"Red Snapper","Red Snapper"
"Royal Flush","Royal Flush"
"Royal Bitch","Royal Bitch"
"Ruby Tuesday","Ruby Tuesday"
"Rail Splitter","Rail Splitter"
"Rosemary Blue","Rosemary Blue"
"Royal Gin Fizz","Royal Gin Fizz"
"Rum Milk Punch","Rum Milk Punch"
"Rum Screwdriver","Rum Screwdriver"
"Raspberry Cooler","Raspberry Cooler"
"Rum Old-fashioned","Rum Old-fashioned"
"Russian Spring Punch","Russian Spring Punch"
"Radioactive Long Island Iced Tea","Radioactive Long Island Iced Tea"
"Smut","Smut"
"Spritz","Spritz"
"Sazerac","Sazerac"
"Scooter","Scooter"
"Sidecar","Sidecar"
"Stinger","Stinger"
"Snowball","Snowball"
"Shot-gun","Shot-gun"
"Spice 75","Spice 75"
"Salty Dog","Salty Dog"
"Stone Sour","Stone Sour"
"Sangria #1","Sangria #1"
"Sea breeze","Sea breeze"
"Scotch Sour","Scotch Sour"
"Screwdriver","Screwdriver"
"Sherry Flip","Sherry Flip"
"Sweet Tooth","Sweet Tooth"
"Sol Y Sombra","Sol Y Sombra"
"Shark Attack","Shark Attack"
"Sherry Eggnog","Sherry Eggnog"
"Sweet Bananas","Sweet Bananas"
"Sweet Sangria","Sweet Sangria"
"San Francisco","San Francisco"
"Space Odyssey","Space Odyssey"
"Scotch Cobbler","Scotch Cobbler"
"Thriller","Thriller"
"Tia-Maria","Tia-Maria"
"Tipperary","Tipperary"
"Turkeyball","Turkeyball"
"Tom Collins","Tom Collins"
"Tomato Tang","Tomato Tang"
"Thai Coffee","Thai Coffee"
"Texas Sling","Texas Sling"
"Tequila Fizz","Tequila Fizz"
"Tequila Sour","Tequila Sour"
"Talos Coffee","Talos Coffee"
"Tennesee Mud","Tennesee Mud"
"Turf Cocktail","Turf Cocktail"
"Thai Iced Tea","Thai Iced Tea"
"The Last Word","The Last Word"
"The Laverstoke","The Laverstoke"
"Tuxedo Cocktail","Tuxedo Cocktail"
"Tequila Sunrise","Tequila Sunrise"
"Tequila Slammer","Tequila Slammer"
"Thai Iced Coffee","Thai Iced Coffee"
"Tequila Surprise","Tequila Surprise"
"The Jimmy Conway","The Jimmy Conway"
"Texas Rattlesnake","Texas Rattlesnake"
"Tommy's Margarita","Tommy's Margarita"
"The Evil Blue Thing","The Evil Blue Thing"
"Victor","Victor"
"Vesper","Vesper"
"Vesuvio","Vesuvio"
"Veteran","Veteran"
"Vampiro","Vampiro"
"Van Vleet","Van Vleet"
"Vodka Fizz","Vodka Fizz"
"Vodka Martini","Vodka Martini"
"Vodka Russian","Vodka Russian"
"Vermouth Cassis","Vermouth Cassis"
"Victory Collins","Victory Collins"
"Vodka And Tonic","Vodka And Tonic"
"Valencia Cocktail","Valencia Cocktail"
"Whisky Mac","Whisky Mac"
"Wine Punch","Wine Punch"
"White Lady","White Lady"
"Wine Cooler","Wine Cooler"
"Whiskey Sour","Whiskey Sour"
"White Russian","White Russian"
"Whitecap Margarita","Whitecap Margarita"
"Waikiki Beachcomber","Waikiki Beachcomber"
"Yellow Bird","Yellow Bird"
"Yoghurt Cooler","Yoghurt Cooler"
"Zorro","Zorro"
"Zinger","Zinger"
"Zoksel","Zoksel"
"Zombie","Zombie"
"Zambeer","Zambeer"
"Zorbatini","Zorbatini"
"Zenmeister","Zenmeister"
"Zipperhead","Zipperhead"
"Zima Blaster","Zima Blaster"
"Zizi Coin-coin","Zizi Coin-coin"
"Zippy's Revenge","Zippy's Revenge"
"Zimadori Zinger","Zimadori Zinger"
"Ziemes Martini Apfelsaft","Ziemes Martini Apfelsaft"
